META DATA TABEL RW_PROFESI,,,,,,
Name,Null?,Type,Param json API SIMPEG,Keterangan,Sample Data,Relasi
ID,NOT NULL,VARCHAR2(32),id,ID yang otomatis ter-generate saat data dibuat,A8ACA9F1E5123912E040640A040269BB,
PROFESI_ID,NOT NULL,VARCHAR2(32),,ID dari Profesi (lihat di s.id/TABREFBKN),A5EB03E207E9F6A0E040640A040252AD,n to 1
PNS_ID,NOT NULL,VARCHAR2(32),,ID dari PNS,A8ACA749C06C3912E040640A040269BB,n to 1
NAMA_INS_PENYELENGGARA,,VARCHAR2(50),,Nama Instansi Penyelenggara,STAI AL AZHARY MAMUJU,
TAHUN_LULUS,,NUMBER(4),,Tahun Lulus,2003,
NCSISTIME,,TIMESTAMP(6),,Waktu realtime ter-create nya data,23-JUL-11 08.29.52.000000 AM,
